# subject<TAB>other forms the recordings use, separated by ';'. Read by scripts/ai/draft.py.
# Existing entries (the Sabbath, clean and unclean meats, Esau and Edom, idolatry, sacrifice and
# atonement, the covenant, the feasts, the priesthood) are left to their authors.
The Twelve Tribes of Israel	twelve tribes;12 tribes
The Captivity	captivity;captive;slavery
The Curses of Deuteronomy 28	the curses;Deuteronomy 28
The Gentiles and the Heathen	Gentiles;heathen
Babylon	Babylonian;Babylonians
Rome	Roman;Roman Empire
The Gathering of Israel	the gathering;regathering
The Remnant	remnant
The Messiah	Messiah;Christ
The Kingdom	kingdom of heaven;kingdom of God
Repentance	repent
The Commandments	commandments;statutes and judgments
Egypt	Egyptians;back into Egypt
Zion	Sion
The Tithe	tithe;tithes;tithing
The Beast	fourth beast;the beast
The Sons of Ham	Ham;Hamites
Judah and the Jews	Judah;Jews
