# term<TAB>other forms the recordings use, separated by ';'. Read by scripts/ai/draft.py.
Israelites	Israelite;children of Israel;Hebrew Israelites;Hebrew Israelite
Most High	the most high;Almighty
Messiah	Christ;Yahawashi;Yahshua
Edom	Edomite;Edomites;Idumea
Esau	Esau's seed
Gentiles	Gentile
Heathen	heathens
Jews	Jew
Judah	tribe of Judah
Twelve Tribes	12 tribes;twelve tribes of Israel
Captivity	captive;the captivity
Curses	the curses;curses of Deuteronomy 28
Egypt	Egyptians;Egyptian;back into Egypt
Babylon	Babylonian;Babylonians
Rome	Roman;Romans empire;Roman Empire
Zion	Sion
Ephraim	Ephraimites
Benjamin	Benjamites
Levites	Levi;tribe of Levi
Canaan	Canaanites
Ham	Hamites;Hamitic
Shem	Shemites;Semites
Japheth	Japhethites
Ishmael	Ishmaelites
Moab	Moabites
Amalek	Amalekites
Sabbath	sabbath day;sabbaths
Holy Days	high holy days;feast days
Commandments	commandment;statutes and judgments
Precept	precepts;precept upon precept
Repentance	repent
Salvation	
Gathering	the gathering;regathering
Remnant	the remnant
Kingdom	kingdom of heaven;kingdom of God
Pharisees	Pharisee
Judaism	Talmud
Christianity	Christians;Christian
Idolatry	idols;idol
Heaven	heavens
Hell	lake of fire
Tithe	tithes;tithing
Apocrypha	2 Esdras;Sirach;Ecclesiasticus;Maccabees
Four Corners	four corners of the earth
Sons of God	sons of God
Beast	the beast;fourth beast
