name	variants	note
Bishop Kani	Bishop Kai;Bishop Kana;Bishop Kanai;Bishop Kanan;Bishop Kanah;Bishop Kanaya;Bishop Kanayiah;Bishop Kanaai;Bishop Kanata;Bishop Kanon;Bishop Kanab;Bishop Kanaba;Bishop Kanak;Bishop Ka Nai;Bishop Ka Naan;Bishop Ka Nan;Bishop Kenai;Bishop Kena;Bishop Kenaia;Bishop Kenaiah;Bishop Kenna;Bishop Kennai;Bishop Kenny;Bishop Kenan;Bishop Kennel;Bishop Kennard;Bishop Kennards;Bishop Kenneth;Bishop Kennata;Bishop Kennage;Bishop Kennade;Bishop Kedai;Bishop Kadai;Bishop Konai;Bishop Kay;Bishop Kau;Bishop Kohain;Bishop Kine	the captions never spell him the same way twice
Bishop Nathanyel	Bishop Nathaniel;Bishop Nathanael;Bishop Nathan;Bishop Nathani;Bishop Nathalie	
Elder Nathanyel	Elder Nathaniel;Elder Nathanael	
Bishop Yawasop	Bishop Yawasap;Bishop Yawasab;Bishop Yawasa;Bishop Yawas;Bishop Yawasha;Bishop Yahwasaph;Bishop Yahwasap;Bishop Yahwasab;Bishop Yahwasa;Bishop Yahawashi;Bishop Yasite;Bishop Yas	
Captain Yahn	Captain Yan;Captain Yawn	Officer Yan is someone else; not listed
Captain Hananiah	Captain Haniah;Captain Henia;Captain Hannah	
Captain Abiel	Captain Abio;Captain Abia;Captain Abi	the Black Rhino
Captain Galayah	Captain Galiah;Captain Galia;Captain Galai;Captain Gallayia	
Captain Gadaliah	Captain Gdaliah	
Captain Mattathias	Captain Matathias	
Deacon Asaph	Deacon Asaf	
